reboot the system [[typebox:Back]]	reboot
ifconfig and ... are similar. the second is newer on the distributions [[typebox:Back]]	ip
list all the network interface and their ip adresses (2 ways) [[typebox:Back]]	ifconfig -a ip address show
write ip address show in another manner (2) [[typebox:Back]]	ip addr show ip a show
in ip address show, you can omit ... and write ...., because show is the default instruction [[typebox:Back]]	show ip address
show only list of interfaces enabled [[typebox:Back]]	ifconfig
show only ipv4 adrs using ip [[typebox:Back]]	ip -4 a
show only ipv6 adrs using ip [[typebox:Back]]	ip -6 a
interface name description : enp0s3 [[typebox:Back]]	en ethernet / wl wirelesslan because pci card : port 0 slot 3
get specific informations on the enp0s3 interface (2 ways) [[typebox:Back]]	ifconfig enp0s3 ip a s dev enp0s3
show the gateway infos [[typebox:Back]]	route
show gateway infos with the numeric option for the names (2 ways) [[typebox:Back]]	route -n ip route show
route command, the ... in the Flag column indicate the ... [[typebox:Back]]	G default gateway
show infos on dns [[typebox:Back]]	resolvectl status
unactivate the enp0s3 interface (2 ways) [[typebox:Back]]	ifconfig enp0s3 down ip link set enp0s3 down
activate the enp0s3 interface (2 ways) [[typebox:Back]]	ifconfig enp0s3 up ip link set enp0s3 up
set up an ip address on the interface enp0s3 using ifconfig [[typebox:Back]]	ifconfig enp0s3 192.168.0.111/24 up
set new ip address on enp0s3 interface with ip command (2 cmds) [[typebox:Back]]	ip a del 192.168.0.111/24 enp0s3 ip a add 192.168.0.111/24 enp0s3
create a new default gateway (2 steps in 2 ways) [[typebox:Back]]	route del default gw 192.168.0.1 route add default gw 192.168.0.2 ip route del default ip route add default via 192.168.0.2
change the mac adr of the interface enp0s3 (2 ways) [[typebox:Back]]	ifconfig enp0s3 down ifconfig enp0s3 hw ether 00:03:27:51:45:34 ifconfig enp0s3 up ip link set dev enp0s3 address 00:03:27:51:45:34
... is the default network management tool [[typebox:Back]]	netplan
netplan tool uses ... file that are located to ... [[typebox:Back]]	yaml /etc/netplan
Netplan support 2 ... to control networking interfaces. ... (used mostly on ...) and ... (used on ...) [[typebox:Back]]	renderers backend services network manager (desktop machines) and systemd-networkd (server without GUI)
the network interface can be managed either by ... either by ..., but ... [[typebox:Back]]	network manager systemd-networkd not by both of them at a same time
Stop NetworkManager service [[typebox:Back]]	systemctl stop NetworkManager
"disable NetworkManager service, so it won't start after a restart [[typebox:Back]]"	systemctl disable NetworkManager
check the status of NetworkManager [[typebox:Back]]	systemctl status NetworkManager
check if NetworkManager is enabled for the boot [[typebox:Back]]	systemctl is-enabled NetworkManager
"Description of this netplan yaml file : network: version: 2 renderer: networkd ethernets: enp0s3: dhcp4: false addresses: - 192.168.0.20/24 gateway4: ""192.168.0.1"" nameservers: addresses: - ""8.8.8.8"" - ""8.8.4.4"" [[typebox:Back]]"	"each file always start with the 'network' keyword Then, at least 3 required elements : - the version of the network configuration format - the renderer - the device type"
apply changes after updated the netplan config file [[typebox:Back]]	netplan apply
Yaml use ... for indentation [[typebox:Back]]	two spaces
... is useful for testing and troubleshooting the network connectivity [[typebox:Back]]	ping
an ip address can be set to ... [[typebox:Back]]	multiple differents domain names
ping ubuntu.com by avoiding the dns resolution name [[typebox:Back]]	ping ubuntu.com -n
by default, ping wait .... before sending each packet [[typebox:Back]]	1 second
infos on a ping line : ... [[typebox:Back]]	size of the packet seq number ttl : num of hosts between source and dest time : for a send a packet and receive a response (under 40 very good, over 100 not good for realtime, voip, etc...)
send 5 ping to google.com with a delay of 0.3 seconds between each packet [[typebox:Back]]	ping -i 0.3 -c 5 google.com
send 5 ping to google.com by only displaying the summary [[typebox:Back]]	ping -q -c 5 google.com
find the second router ip adr for the path of this command : ping -c 3 ubuntu.com [[typebox:Back]]	ping -t 2 -c 3 ubuntu.com
SSH stands for [[typebox:Back]]	Secure Shell
SSH protocol is used for : - - - [[typebox:Back]]	- secure remote management of server, routers, networking devices - network file copy : rsync, scp, sftp, winscp - tunneling, ssh port forwarding
... is the ssh server (daemon) and ... or ... is the client [[typebox:Back]]	sshd ssh putty
ssh installation cmd on ubuntu [[typebox:Back]]	sudo apt update && sudo apt install openssh-server openssh-client
ssh installation command on CentOS [[typebox:Back]]	sudo dnf install openssh-server openssh-clients
ssh server config file [[typebox:Back]]	/etc/ssh/sshd_config
ssh client config file [[typebox:Back]]	/etc/ssh/ssh_config
check with ps and grep is ssh is running [[typebox:Back]]	ps -ef | grep ssh
